GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
wumplusz,com.jozsef.eros,Menu,105,0,9,0,41,0,12,0,6,0
wumplusz,com.jozsef.eros,GameManager,13,0,0,0,5,0,2,0,2,0
wumplusz,com.jozsef.eros,NewGameLoader,161,0,16,0,53,0,16,0,8,0
wumplusz,com.jozsef.eros.model,InnerWallGenerator,124,0,24,0,29,0,16,0,4,0
wumplusz,com.jozsef.eros.model,Wumpus,45,0,0,0,13,0,5,0,5,0
wumplusz,com.jozsef.eros.model,Player,159,0,6,0,65,0,32,0,29,0
wumplusz,com.jozsef.eros.model,WumpusGenerator,231,0,66,0,61,0,43,0,10,0
wumplusz,com.jozsef.eros.model,Gold,50,0,0,0,16,0,6,0,6,0
wumplusz,com.jozsef.eros.model,PlayerInfo,119,0,8,0,37,0,9,0,5,0
wumplusz,com.jozsef.eros.controller,FileManager,3,0,0,0,1,0,1,0,1,0
wumplusz,com.jozsef.eros.controller,PlayerActions,460,0,106,0,134,0,60,0,7,0
wumplusz,com.jozsef.eros.controller,GameLoader,3,0,0,0,1,0,1,0,1,0
wumplusz,com.jozsef.eros.controller,CheckStatus,131,0,26,0,48,0,19,0,6,0
wumplusz,com.jozsef.eros.controller,GameSaver,122,0,10,0,46,0,13,0,7,0
wumplusz,com.jozsef.eros.controller,DataBaseManager,65,0,0,0,24,0,4,0,4,0
wumplusz,com.jozsef.eros.view,GameBoardGenerator,277,0,32,0,57,0,21,0,5,0
